"Data Broker Name","Email Address (Accessible to the public)","Website URL","Physical Address","How a consumer may opt out of sale or submit requests under the CCPA","How a protected individual can demand deletion of information posted online under Gov. Code sections 6208.1(b) or 6254.21(c)(1)","Additional information about data collecting practices","Date Added"
"Claritas LLC.","al.gadbut [at] claritas.com","http://www.Claritas.com","8044 Montgomery RoadSuite 455Cincinnati, OH 45236United States","There is a link on our home page and in our privacy policy.  We also offer a 1-800 # to consumers to opt-out","There is a link on our home page and in our privacy policy.  We also offer a 1-800 # to consumers to request deletion","","02/27/2020"
"Edvisors Network, Inc.","lfainer [at] edvisors.com","http://www.edvisors.com","10000 W. Charleston Blvd.Suite 200Las Vegas, NV 89135United States","Edvisors provides information relative to consumer opt-out in our Privacy Policy. Consumers are able to submit their request to
opt out through a webpage https://www.edvisors.com/third-party-opt-out/ which was created to provide a consumer the ability
to opt out of sharing and/or selling their personal information. We also honor opt out requests if submitted in any other manner,
e.g., email or chat.","N/A","N/A","01/31/2020"
"MaxMind, Inc.","legal [at] maxmind.com","https://www.maxmind.com","14 Spring St.Suite 3Waltham, MA 02451United States","We have a toll free number, email submissions to california-privacy@maxmind.com mailbox, and a webform on our website for consumers to fill out. 

All submission methods are available on our Privacy Policy, which can be found here https://www.maxmind.com/en/privacy-policy","We have a toll free number, email submissions to california-privacy@maxmind.com mailbox, and a webform on our website for consumers to fill out. 

All submission methods are available on our Privacy Policy, which can be found here https://www.maxmind.com/en/privacy-policy","All of the ways we collect data and how we use the data are laid out in our Privacy Policy. ","02/12/2020"
"Conversant LLC","privacy [at] conversantmedia.com","https://www.conversantmedia.com/","101 N. Wacker Dr.Suite 2300Chicago, IL 60606United States","California residents may opt out of the sale of their personal information by submitting an online request at https://www.conversantmedia.com/privacy/opt-out and may submit data access and deletion requests at https://www.conversantmedia.com/dsr. ","Conversant does not receive or maintain any home addresses or telephone numbers for any individual.","More information about Conversant’s data collecting practices can be found at https://www.conversantmedia.com/legal/privacy.","07/22/2020"
"Deloitte Consulting LLP","USPrivacyQuestions [at] deloitte.com","http://www.deloitte.com","555 S. Tryon StreetSuite 2500Charlotte, NC 28202United States","Follow the instructions on our Do Not Sell My Personal Information webpage located at https://www2.deloitte.com/us/en/footerlinks1/do-not-sell-my-personal-information.html. ","Not applicable as Deloitte Consulting LLP does not publicly post online the telephone number or address information of individuals. ","","01/31/2020"
"Avrick Direct, Inc.","privacy.compliance [at] avrickdirect.com","https://avrickdirect.com/","7120 185TH AVE NEREDMOND, WA 98052United States","Consumers can submit CCPA requests through our link at http://privacy.avrickdirect.com/request/opt-out, by emailing privacy.compliance@avrickdirect.com or by visiting www.AvrickDirect.com and reviewing our Privacy Policy.","Consumers can submit CCPA requests through our link at http://privacy.avrickdirect.com/request/opt-out, by emailing privacy.compliance@avrickdirect.com or by visiting www.AvrickDirect.com and reviewing our Privacy Policy.","Consumers can visit www.AvrickDirect.com and review our Privacy Policy as well as our Consumer Information link.","07/06/2020"
"Datastream Group, Inc.","data [at] datastreamgroup.com","https://datastreamgroup.com/","1085 Business LaneSuite 3Naples, FL 34110United States","https://datastreamgroup.com/opt-out/
https://datastreamgroup.com/california-consumer-privacy-act-ccpa/
https://datastreamgroup.com/do-not-sell-my-personal-info/","https://datastreamgroup.com/do-not-sell-my-personal-info/","https://datastreamgroup.com/privacy-statement/","02/27/2020"
"PacificEast Research Inc.","privacy [at] pacificeast.com","http://www.pacificeast.com","8625 SW Cascade AvenueSuite 250Beaverton, OR 97008United States","Consumers can view instructions related to CCPA or GDPR Compliance at https:\\www.pacificeast.com/privacy-policy, send an email to privacy@pacificeast.com or call PacificEast at 800-665-8400.","Consumers can view instructions related to CCPA or GDPR Compliance at https:\\www.pacificeast.com/privacy-policy, send an email to privacy@pacificeast.com or call PacificEast at 800-665-8400.","More information available at https:\\www.pacificeast.com/privacy-policy ","02/27/2020"
"Adrea Rubin Marketing, Inc.","jenniferv [at] adrearubin.com","http://www.adrearubin.com","19 West 44th Street, Suite 1415New York, NY 10036United States","A consumer may opt out of sale or submit requests under the CCPA by either calling a number listed on our website or filling out a form on our website.","We do not knowingly and intentionally publicly post or publicly display on the Internet the home address or home telephone number of any person. A protected individual can contact us by either calling a number listed on our website or filling out a form on our website.

","A credentialing process is implemented to prevent data usage for nefarious purposes.","01/31/2020"
"Adrea Rubin Media, Inc. dba Calibrant Digital","jenniferv [at] adrearubin.com","http://www.calibrant.com","19 West 44th StreetSuite 1415New York, NY 10036United States","A consumer may opt out of sale or submit requests under the CCPA by either calling a number listed on our website or filling out a form on our website.

Numbers listed on both websites www.adrearubin.com and www.calibrant.com","We do not knowingly and intentionally publicly post or publicly display on the Internet the home address or home telephone number of any person. A protected individual can contact us by either calling a number listed on our website or filling out a form on our website.","A credentialing process is implemented to prevent data usage for nefarious purposes.","01/31/2020"
"DSA Direct, LLC","Lsantaite [at] dsagraphics.com","http://dsadirectllc.com/","431 East Main Street #3Denville, NJ 07834United States","DSA Direct, does not own or aggregate data, but is a reseller of data provided by major compilers. Customers may email, write in or call in to DSA Direct to be removed from a list supplied by DSA Direct, LLC.  Customers may request sourcing of their information and DSA DIrect will provide this upon request.  Upon request to be removed from a list, DSA will promptly have this done by the data source. Records would be flagged as a ""DO NOT RENT"" at that time and any new orders processed by DSA Direct will not have that record included.  ","DSA Direct, LLC does not post online any individuals information. ","DSA Direct, LLC is a reseller of data.  Much of DSA data is sourced from Databases inwhich participants agree to allow their data to be released to third parties.  Do not mail and other suppression files are applied to the databases as regular maintenance.  Most files are also NCOA'd and cleaned as a regular procedure by the provider of the original sourcing and/or the mailer receiving the data before putting offer in the mail.   The ability to have the recipients name removed is and has always been an easy request to facilitate. DSA Direct only works with reputable supplies, brokers, mailers and offers.  ","02/07/2020"
"Arity 875, LLC","privacy [at] arity.com","https://www.arity.com","222 W Merchandise Mart PlazaSuite 875Chicago, IL 60654United States","California consumers may opt out of the sale of their personal information by selecting the link toward the bottom of the Arity website www.arity.com or via Arity’s privacy statement. Arity’s sharing that may be considered a sale of personal information is limited.","California consumers may exercise their deletion right by visiting arity.consumerprivacyinfo.com or emailing us at consumerrequests@arity.com.","Arity uses advertising identifiers associated with consumer’s mobile device (commonly known as a Mobile Ad ID) to serve third-party interest-based advertising based on their driving habits. Under California law, sharing these unique advertising identifiers for online advertising may be considered a “sale” of information. Except for this kind of sharing, Arity does not sell any personal information.","02/27/2020"
"LexisNexis Risk Solutions","consumer.documents [at] lexisnexis.com ","http://risk.lexisnexis.com","1000 Alderman DriveAlpharetta, GA 30005United States","California consumers may opt out or submit requests under the CCPA at:

https://consumer.risk.lexisnexis.com/california

California consumers may also submit a request by phone at 1-888-217-1591 or by mail at: 

Consumer Center
Attn: California Consumer Privacy Act (CCPA) Request
 P.O. Box 105108
Atlanta, GA 30348-5295
","Protected individuals can submit requests by phone at 1-888-217-1591 or at:

LexisNexis Individual Requests for Information Suppression
PO Box 933 
Dayton, OH 45401 
Email: privacy.information.mgr@lexisnexis.com
","Addition information is available at: 

https://consumer.risk.lexisnexis.com/california
","01/31/2020"
"Infofree.com","bob [at] infofree.com","https://www.infofree.com","11211 John Galt BlvdOmaha, NE 68137United States","Please go to https://ccpa-optout.com/infofree/ to begin the process or contact us via phone and/or email","Outlined at https://www.infofree.com/privacy - Users can submit a request via online, email, phone, etc.","Our Consumer Database is compiled from public and self-reported data sources to be used for Business to Consumer marketing purposes.  Infofree.com does NOT compile any of the following sensitive personal information:  Driver’s License Information, Passport/Visa Numbers, State ID Information, Student Information, Social Security Numbers, Sexual Orientation Preferences, Credit/Debit Card Numbers, Private Medical/Health Records, Bank Account Numbers, Salary/Payroll/Benefit Data, PIN Numbers, Frequent Flyer Numbers, Exact FICO Scores/Credit Rating, Medical Insurance Information, Personal Account Numbers, Logon ID’s and Passwords, Biometric Data (Fingerprints, Facial Recognition, DNA, Retina Patterns, Blood Types or Signatures).","02/07/2020"
"Cross Pixel Media, Inc.","privacy [at] crosspixel.net","http://www.crosspixel.net","229 West 28th StreetSuite 400New York, NY 10001United States","https://privacy.crsspxl.com/optout
https://www.privacyrights.info/","https://privacy.crsspxl.com/cookie","","06/18/2020"
"BeenVerified, Inc. and its subsidiaries and affiliates","ccpa [at] beenverified.com","http://www.beenverified.com-www.peoplelooker.com-www.neighborwho.com-www.numberg...","48 West 38th Street, 8th FloorNew York, NY 10018United States","Via https://www.beenverified.com/app/optout/search or other related links provided on our website or by emailing us at ccpa@beenverified.com or by calling us at 888-579-5910","Via https://www.beenverified.com/app/optout/search or other similar links provided on our website or by emailing us at support@beenverified.com or by calling us at 888-579-5910","","02/07/2020"
"Taboola, Inc.","privacy [at] taboola.com","http://www.taboola.com","16 Madison Square West, 7th FloorNew York, NY 10010United States","California consumers may opt out of Taboola’s disclosures and sales of personal information via Taboola’s California Consumer Rights Portal, which is available at https://ccparequest.taboola.com. Please note that this feature is currently only available for California state residents. Individuals that do not reside in California may visit Taboola's Data Subject Access Request Portal, which is available at https://accessrequest.taboola.com.","California consumers may request that Taboola delete any personal information that we hold about you via Taboola's Data Subject Access Request Portal, which is available at https://accessrequest.taboola.com.","Taboola provides consumers with personalized content and advertisements across thousands of global digital properties. To do so, Taboola maintains pseudonymous data about consumers, which means that we do not know the consumer’s identity because we do not process names, email address, or other identifiable data. Instead, we only process digital identifiers such as cookie IDs, IP addresses, and mobile advertising IDs from the consumer's device (for a full list of the pseudonymized data that we process, please see Taboola's Privacy Policy, available at https://www.taboola.com/privacy-policy). 

Taboola may disclose or make available consumers' pseudonymous data to our trusted partners. In most cases when we do so, we have contractually restricted their uses of this data for only Taboola’s business purposes. Under the CCPA, such disclosures of Personal Information to service providers are not deemed to be a “sale” and thus are not prohibited after a consumer exercises his or her right to cease or restrict disclosures or sales of data. In any instances where we have not entered into a service provider relationship with a third party company, we will stop sharing the consumer's data when instructed to not “sell” the personal information.
","02/07/2020"
"Melissa Corporation"," CCPArequest [at] melissa.com","https://www.melissa.com/","22382 Avenida EmpresaRancho Santa Margarita, CA 92688United States","California consumers may submit a request to exercise their Right to Know, Right to Opt-Out of Sale, and/or Right to Delete by filling out a dedicated web form on our website, emailing a request to  CCPArequest@melissa.com or contacting technical support by phone at 1 800 800 6245 x4 for further instructions.  More detailed information about CCPA requests is available on the Melissa Privacy page at: https://www.melissa.com/privacy. ","California consumers may submit a request to exercise their Right to Delete by filling out a dedicated web form on our website (https://www.melissa.com/user/ccpa.aspx), emailing a request to  CCPArequest@melissa.com or contacting technical support by phone at 1 800 800 6245 x4 for further instructions.  More detailed information about CCPA requests is available on the Melissa Privacy page at: https://www.melissa.com/privacy. ","For a more detailed description of Melissa Corporation data privacy practices please visit our privacy policy page at: https://www.melissa.com/privacy. ","02/07/2020"
"Path2Response","privacyinfo [at] path2response.com","https://path2response.com","1805 Highway 422nd FloorLouisville, CO 80027United States","Consumers should go to https://path2response.com/consumer-privacy to submit CCPA requests (Opt-Out from Sale or Access your Data). Consumers may also call 1-888-914-9661, PIN 625-484.","Consumers should go to https://path2response.com/consumer-privacy to submit CCPA requests (Delete your Data). Consumers may also call 1-888-914-9661, PIN 625-484.","","02/12/2020"
"Infortal Associates Inc dba Infortal Worldwide","ctal [at] infortal.com","http://www.infortal.com","1590 THE ALAMEDASUITE 100SAN JOSE, CA 95126United States","Consumer can contact support@infortal.com to opt out of sale or submit requests under the CCPA.  Infortal will verify that the consumer is correctly identified before proceeding with changes requested by consumer.","Protected Individuals (Consumer) can contact support@infortal.com to opt out of sale or submit requests under the CCPA.  Infortal will verify that the consumer is correctly identified before proceeding with changes requested by consumer. Retention and deletion of data will be pursuant to State of California regulations governing licensed Private Investigators.  
PI License 15304 CA.
","Infortal Associates Inc. (dba Infortal Worldwide) has a Privacy Policy posted on our website at www.infortal.com which will address data collecting practices.  
(Infortal's Privacy policy is being updated currently).","02/07/2020"
"MeritDirect","privacy [at] meritdirect.com","http://www.meritdirect.com","2 International DriveRye Brook, NY NY 10573United States","California consumers may now easily submit an opt-out request by submitting an online request via our webform, found here: http://go.meritdirect.com/CCPA_YourRights_or calling our Toll-Free Number (800) 368-7602 and following the prompts on the recorded message.   Mail requests need to be sent to the Compliance Officer, 2 International Drive, Rye Brook, NY, 10573.  Detailed information and instructions on how a California consumer may exercise their rights under CCPA can also be found in our Privacy Policy www.meritdirect.com/privacy-policy.

Please describe your request with sufficient detail that allows us to properly understand, evaluate, and respond to it.

As required by law, we may take steps to verify your identity before granting you access to your information or completing your request to exercise your rights.  Under CCPA regulations we will acknowledge your request within 10 days and confirm this has been done within 45 days of your request submission.  We do not charge a fee for processing your request to exercise your rights.
","California consumers and/or elected or appointed officials may submit an opt-out request online via our webform, found here: http://go.meritdirect.com/CCPA_YourRights_or calling our Toll-Free Number (800) 368-7602 and following the prompts on the recorded message.   Mail requests need to be sent to the Compliance Officer, 2 International Drive, Rye Brook, NY, 10573.  
","An in-depth Overview of MeritDirect’s data collection/processing practices can be found at www.meritdirect.com/privacy-policy.

MeritDirect does not collect information directly from consumers. We are a business-to-business service provider. 

","02/12/2020"
"DatabaseUSA","Privacy [at] databaseusa.com","https://databaseusa.com/","11211 John Galt BlvdOmaha, NE 68137United States","Please go to https://ccpa-optout.com/ to begin the process. ","Please go to https://ccpa-optout.com/ to begin the process.","Our Consumer Database is compiled from public and self-reported data sources to be used for Business to Consumer marketing purposes.  DatabaseUSA does NOT compile or possess any of the following sensitive personal information:  Driver’s License Information, Passport/Visa Numbers, State ID Information, Student Information, Social Security Numbers, Sexual Orientation Preferences, Credit/Debit Card Numbers, Private Medical/Health Records, Bank Account Numbers, Salary/Payroll/Benefit Data, PIN Numbers, Frequent Flyer Numbers, Exact FICO Scores/Credit Rating, Medical Insurance Information, Personal Account Numbers, Logon ID’s and Passwords, Biometric Data (Fingerprints, Facial Recognition, DNA, Retina Patterns, Blood Types or Signatures).","03/09/2020"
"All Web Leads, Inc","onlineops [at] allwebleads.com","http://www.allwebleads.com","7300 FM 2222Building 2, Suite 100Austin, TX 78730United States","A consumer may contact AWL Inc per instructions listed on http://www.allwebleads.com/privacy/ to opt out of sale or submit CCPA requests","A consumer may contact AWL Inc per instructions listed on http://www.allwebleads.com/privacy/ to demand deletion.","","02/12/2020"
"All Global Resources, LLC","drieke [at] executiveenergy.com","http://www.executiveenergy.com/all-global-resources/","6275 S. Pearl StreetSuite 100Las Vegas, NV 89120United States","Online.","Online and via mail.","","02/07/2020"
"KBM Group LLC, d/b/a Wunderman Thompson Data","Rachel.glasser [at] wundermanthompson.com","http://www.kbmg.com","2050 N. Greenville AveRichardson, TX 75082United States","A consumer may opt our of sale or submit requests under the CCPA through the follow ways:
1)	Completing our webform to intake such requests which is available on our privacy policy
2)	emailing:
a.	Consumerassistance@wundermandata.com
b.	DoNotMail@wundermanthompson.com
3)	Or phoning 866-275-4526
4)	Consumers may also request to opt out of the sale of their personal information here: https://www.kbmg.com/about-us/ccpa-privacy-policy/#optout  
","Individuals can demand deletion by one of the methods mentioned above.","For more information please visit https://www.kbmg.com/about-us/privacy/","02/07/2020"
"Leadspace, Inc.","info [at] leadspace.com","https://www.leadspace.com/","445 Bush St.Suite 900San Francisco, CA 94108United States","Through the Do Not Sell My Personal Information form on the Leadspace website: https://www.leadspace.com/do-not-sell-form/, which is also available through the Leadspace homepage.
","By reaching out to us through compliance_privacy@leadspace.com and as further detailed in Leadspace's Privacy Notice available at - https://www.leadspace.com/privacy-notice/, however the data we provide is for business to business purposes only.","We collect business-related data, received from our customers, data service providers and sources, and process as part of our data management service. We further collect personal information through our website and personal information related to our service’s business users. For more information please see our privacy notice available at: https://www.leadspace.com/privacy-notice/.","02/12/2020"
"Lighthouse List Company, LLC","matt [at] lighthouselist.com","http://www.lighthouselist.com","27 SE 24th AveSuite 6Pompano Beach, FL 33062United States","In our privacy policy on our site, we offer a way for the consumer to opt-out of sharing of their information by emailing our privacy team with their contact information.","In our privacy policy on our site, we offer a way for the consumer to opt-out of sharing of their information by emailing our privacy team with their contact information.","We work with 1st, 2nd and 3rd party data companies who provide us with data where the consumer is opting-in to 3rd party marketing for direct mail, email, telemarketing and digital marketing. All of our data partnerships are vetted to ensure they also are following the guidelines of the CCPA.","02/12/2020"
"EproDirect","team [at] eprodirect.com","https://www.eprodirect.com","1651 NW 1st CourtBoca Raton, FL 33432United States","Consumers have 2 ways to opt out:
- We use MailChimp to manage our email campaigns and they can opt out through a link on any of the emails that they receive (this will opt them out of our email database completely).
- They can go to the following link which is in the cookie banner at the top of our website and on the links in the footer: https://www.eprodirect.com/do-not-sell-my-personal-information/ ","By email: team@eprodirect.com
By visiting this page on our website: https://www.eprodirect.com/contact-us/
Or the CCPA Opt-Out Page: https://www.eprodirect.com/do-not-sell-my-personal-information/ 
","https://www.eprodirect.com/privacy-policy/","07/22/2020"
"Digital Media Solutions, LLC","legal [at] thedmsgrp.com","https://digitalmediasolutions.com/","4800 140th Avenue NorthSuite 101Clearwater, FL 33762United States","https://dmsunsub.io/","https://dmsunsub.io/","","02/07/2020"
"Traackr, Inc. ","legal [at] traackr.com ","https://www.traackr.com/","211 Sutter StreetSuite 600San Francisco, CA 94108United States","California residents may opt out of the sale of their personal information or submit requests under CCPA by either  (1) calling us at  +1-855-872-2257; (2) submitting an online request at https://www.traackr.com/data-opt-out; (3) contacting us by email at legal@traackr.com; or (4) by direct mail. Our mailing address is Traackr Inc., Attention: Legal, 211 Sutter Street, Suite 600, San Francisco, California 94108. If necessary, Traackr may request additional information to verify a consumer's identity and complete the request. ","Traackr is not in the business of publicly posting personal information. Any individual can submit a deletion request by (1) calling us at +1-855-872-2257; (2) submitting an online request at https://www.traackr.com/data-opt-out; (3) submitting an email request to legal@traackr.com; or (4) by direct mail.  Our mailing address is Traackr Inc., Attention: Legal, 211 Sutter Street, Suite 600, San Francisco, California 94108. If necessary, Traackr may request additional information to verify a consumer's identity and complete the request. ","For more information about Traackr's data collection practices, please see Traackr's  Influencer Privacy Notice located at the following link: https://www.traackr.com/infl-privacy-notice. ","03/03/2020"
"Alliant Cooperative Data Solutions, LLC","compliance [at] alliantdata.com","http://AlliantData.com","301 Fields Ln.Brewster, NY 10509United States","The consumer may opt out of Alliant's consumer data products through the automated opt out page at https://alliantdata.com/data-services-and-website-privacy-policy/.","Alliant does not display or permit the display of such information, or operate a website that involves user generated content.","None.","02/07/2020"
"LimeLeads","privacy [at] limeleads.com","http://limeleads.com","113 Cherry St # 28478Seattle, WA 98104-2205United States","Consumers can opt out by emailing privacy@limeleads.com or by visiting LimeLead's Privacy Center at https://www.limeleads.com/about-us/privacy-center/ to submit a request under the CCPA.","A protected individual can opt out by emailing privacy@limeleads.com, by visiting  LimeLead's Privacy Center at https://www.limeleads.com/about-us/privacy-center/ or submitting a Deletion Request via https://www.limeleads.com/about-us/privacy-center/request-remove-delete-data/.","","02/07/2020"
"Media Source Solutions","mvolpe [at] mediasourcesolutions.com","http://mediasourcesolutions.com","27 SE 24th AvenueSuite 6Pompano Beach, FL 33062United States","Please contact us at:
Media Source Solutions
Attn: Privacy Officer
27 SE 24th Avenue, Suite 6
Pompano Beach, FL 33062
Phone: 954-788-0213
Email: privacyofficer@mediasourcesolutions.com","Please contact us at:
Media Source Solutions
Attn: Privacy Officer
27 SE 24th Avenue, Suite 6
Pompano Beach, FL 33062
Phone: 954-788-0213
Email: privacyofficer@mediasourcesolutions.com","","03/03/2020"
"Connected Investors","support [at] connectedinvestors.com","http://www.connectedinvestors.com","254 North Front StreetSuite 100Wilmington, NC 28401United States","Connected Investors has added a ""Do Not Sell My Information"" button at the bottom of the homepage at https://connectedinvestors.com/.
Additionally, a consumer may contact Customer Support via one of the methods below to initiate an opt-out of sale or right to know/delete request:
email - Support@connectedinvestors.com
chat - on https://connectedinvestors.com/
phone - (888)204-7501 x144 (CCPA Support)
","Connected Investors has implemented a process to enable a consumer to demand deletion of their personal information that can be initiated via a web portal accessible at https://connectedinvestors.com/consumer-protection. A consumer may also contact Customer Support via the methods below to initiate a right to delete request.  
email - Support@connectedinvestors.com
chat - on https://connectedinvestors.com/
phone - (888)204-7501 x144 (CCPA Support)
","For additional information about Connected Investors data collection and privacy practices visit our website Privacy Policy at https://connectedinvestors.com/content/privacy-policy.","02/12/2020"
"SalesEngine Inc","privacy [at] salesengine.ai","http://salesengine.ai","2711 Centerville Road, Suite 400Wilmington, DE 19808United States","Submit an opt out of sale request via email to privacy@salesengine.ai, on our website's Privacy Policy (https://salesengine.ai/privacy-policy/), or by submitting a request via: https://salesengine.ai/privacy-policy/do-not-sell-info/","Submit a request to demand deletion via email to privacy@salesengine.ai,  on our website's Privacy Policy (https://salesengine.ai/privacy-policy/), or by submitting a request via: https://salesengine.ai/privacy-policy/delete-data-request/","","02/07/2020"
"TrueData Solutions, Inc.","privacy [at] truedata.co","https://www.truedata.co","c/o TrueData Privacy Office555 W 5th Street, 35th FloorLos Angeles, CA 90013United States","Consumers may opt-out of sale or submit requests by email (privacy@truedata.co), by webform (https://info.truedata.co/are-you-in), or by clicking the ""DO NOT SELL MY INFO"" button at the bottom of all of our webpages.","Protected individuals may demand deletion by email (privacy@truedata.co), by webform (https://info.truedata.co/are-you-in), or by clicking the ""DO NOT SELL MY INFO"" button at the bottom of all of our webpages.  Please add a note explaining the type of request made or citing the statute so we can easily understand the purpose of the request. ","Please see our Privacy Policy: https://www.truedata.co/privacy-policy/","02/07/2020"
"Gunderson Direct","jeff [at] gundir.com","https://gundersondirect.com/","1275 A StreetHayward, CA 94541United States","By communicating that desire in writing to our company or one of our clients.","By written request to our company or one of our clients.","Important - We do not collect, compile or house any data. We rent names from OTHER data brokers on behalf of clients for the purposes of direct mail and work with secure data manipulators to manage data requirements for mailings.","02/12/2020"
"Experian Health, Inc.","privacyrequests [at] experian.com","https://www.experian.com/healthcare/","720 Cool Springs Blvd.Suite 200Franklin, TN 37067United States","To exercise the right to opt out of the sale of information or submit a request under CCPA an consumer may contact Experian in the following way, as further described below:
•Online at experian.com/ccpa
•By phone at 1-833-210-4615
•By mail at PO Box 703, Allen, TX 75013
A consumer may also visit our Privacy Policy at https://www.experian.com/privacy/ccpa-privacy-policy
","Experian does not engage in any practice subject to these laws. ","","02/27/2020"
"Electronic Voice Services, Inc.","richard [at] evs7.com","https://www.telephonelists.biz","8111 LYNDON B JOHNSON FWYSTE 1045DALLAS, TX 75251United States","By calling 800-713-8353 or 972-713-6622, or by filling out our online request form here: https://www.evs7.com/personal-information-request","We don't post any personal information online for public viewing.","We do not collect the personal information that we sell. We purchase that from a data broker. ","02/12/2020"
"Entelo, Inc.","privacy [at] entelo.com","http://www.entelo.com","775 Sansome St. Suite 100San Francisco, CA 94111United States"," California residents that would like to opt-out of the sale of their information or request access to their information, should contact us:
by mail to: Entelo, Attn: Legal, 755 Sansome Street, Suite 100, San Francisco, CA 94111, USA, or
via email: privacy@entelo.com, or
by phone: (888) 402-3010
We prefer email.","A protected individual can demand deletion of any information that we may have on them by contacting us:
by mail to: Entelo, Attn: Legal, 755 Sansome Street, Suite 100, San Francisco, CA 94111, USA, or
via email: privacy@entelo.com, or
by phone: (888) 402-3010
We prefer email.","our data collecting practices are fully described on our privacy notice: https://www.entelo.com/privacy-policy/","02/12/2020"
"Searchbug","support [at] searchbug.com","http://searchbug.com","2101 Las Palmas Dr.ECarlsbad, CA 92011United States","Customers can follow our posted opt-out method on our privacy policy page to have their information blocked from being shown on our website. We are also working with our data providers since we are a data reseller not a data broker and do not sell our customer data. We are implementing an internal system to transmit opt out requests to our data vendors (the actual data brokers) who will then remove the information from their system. We are a very small data reseller and plan to creating a new system for opt-outs during the next few weeks.  ","We already comply with this for California Law enforcement and government officials manually. We typically receive those requests in writing or by email and then manually block that information from being available. We will be implementing a system to transmit those requests to our data providers as well.","Our customers must register on our website to create an account. They are walked through registration and must read and agree to our T&C and privacy policy to open an account. We also have a strict KYC policy and require customers validate their account verbally to ensure they are who they say. We are FCRA and GLBA compliant and do not sell or sell our own customer's data. 

We are not a data broker based on the definition of ""Data Broker"", however we are a data reseller and sell data from other data brokers. So, to ensure compliance we are registering here. Our sales are well under the $25 million threshold and have fewer than 10,000 customer sign ups annually. We are more of a data validation, data hygiene, and data clean up service but do offer consumer data (just not our own) so we want to make sure we comply with CA laws.","03/10/2020"
"Experian Information Solutions, Inc.","privacyrequests [at] experian.com","http://www.experian.com","475 Anton BlvdCosta Mesa, CA 92626United States","To exercise the right to opt out of the sale of information or submit a request under CCPA an consumer may contact Experian in the following way, as further described below:
•Online at experian.com/ccpa
•By phone at 1-833-210-4615
•By mail at PO Box 703, Allen, TX 75013
A consumer may also visit our Privacy Policy at https://www.experian.com/privacy/ccpa-privacy-policy","Experian does not engage in any practice subject to these laws. ","","02/27/2020"
"Ubermedia","privacy [at] ubermedia.com","http://www.ubermedia.com","130 west union streetpasadena, CA 91103United States","Consumers should go to https://ubermedia.com/general-privacy-policy/ to submit CCPA requests.  Consumers may also email privacy@ubermedia.com","Consumers should go to https://ubermedia.com/general-privacy-policy/ to submit CCPA requests.  Consumers may also email privacy@ubermedia.com","
We collect mobile location data in compliance with all current US privacy laws, our privacy policy, and CCPA.  We collect data from a variety of sources. All purchased data sources are explicitly in compliance with CCPA and GDPR. We have obtained a signed attestation from our third party vendors explicitly affirming their compliance. 
","02/27/2020"
"ID Analytics LLC","jeff.wydra [at] symantec.com","http://www.idanalytics.com","15253 Avenue of ScienceSAN DIEGO, CA 92128United States","ID Analytics, LLC (“IDA”) receives, processes, and/or discloses consumers’ personal information pursuant to the federal Gramm-Leach-Bliley Act, 15 U.S.C. § 6801 et seq., and its implementing regulation, Regulation P, 12 C.F.R. Part 1016, activities for which the CCPA provides an exemption under Section 1798.145.

For this reason, IDA does not complete consumers’ requests to know, requests to delete, or requests to opt-out under the CCPA.
","ID Analytics, LLC (“IDA”) receives, processes, and/or discloses consumers’ personal information pursuant to the federal Gramm-Leach-Bliley Act, 15 U.S.C. § 6801 et seq., and its implementing regulation, Regulation P, 12 C.F.R. Part 1016, activities for which the CCPA provides an exemption under Section 1798.145.

For this reason, IDA does not complete consumers’ requests to know, requests to delete, or requests to opt-out under the CCPA.","ID Analytics operates a risk exchange governed by the GLBA (as described above).   Outputs produced include Risk Scores, attributes and verification flags.  Access to these services is restricted to enterprise customer who certify their use is consistent with the Gramm-Leach-Bliley Act, 15 U.S.C. § 6801 et seq., and its implementing regulation and who have met strict credentialing requirements.    

Creation and distribution of list data, leads or marketing attributes is specifically forbidden under our contracts..","02/27/2020"
"Apollo Interactive, Inc.","requests [at] apollointeractive.com","http://www.apollointeractive.com/","139 Illinois StEl Segundo, CA 90245United States","A consumer may opt out of sale by clicking on the ""Do Not Sell My Information"" link on our web page and filling out the form. Data requests can be submitted to requests@apollointeractive.com. More information is available in our privacy policy.","Data requests can be submitted to requests@apollointeractive.com. More information is available in our privacy policy.","More information is available in our privacy policy.","02/12/2020"
"TruthFinder, LLC","help [at] truthfinder.com","http://www.truthfinder.com","2534 State Street, No. 473San Diego, CA 92101United States","A consumer may opt out of sale or submit requests under the CCPA by visiting https://www.truthfinder.com/opt-out/v2/ (which can be accessed directly at the provided URL or by clicking the “Do Not Sell My Info” hyperlink on the TruthFinder homepage), emailing TruthFinder customer support at help@truthfinder.com or calling TruthFinder during business hours at (800) 699-8081.","TruthFinder requests that demands for deletion of information under Gov. Code Sections 6208.1(b) or 6254.21(c)(1) be made by delivering a written request via email to help@truthfinder.com or by mail at 2534 State Street, No. 473, San Diego, CA 92101.  ","","03/03/2020"
